"Easting","Northing","City","Administrative.unit","X6.29.18","X7.6.18","X7.13.18","X7.20.18","X7.27.18","X8.3.18","X8.10.18","X8.17.18","X8.24.18","X8.31.18","X9.7.18","X9.14.18","X9.21.18","X9.28.18","X10.5.18","X10.12.18","X10.19.18","X10.26.18","X11.2.18","X11.9.18","X11.16.18","X11.23.18","X11.30.18","X12.7.18","X12.14.18","X12.21.18","X12.28.18","X1.4.19","X1.11.19","X1.18.19","X1.25.19","X2.1.19","X2.8.19","X2.15.19","X2.22.19","X3.1.19","X3.8.19","X3.15.19","X3.22.19","X3.29.19","X4.5.19","X4.12.19","X4.19.19","X4.26.19","X5.3.19","X5.10.19"
386500,422500,"Bacup M.B","Bacup M.B",19.4,33.3,11.1,NA,5.6,2.8,NA,NA,NA,NA,NA,NA,2.8,2.8,NA,NA,NA,NA,NA,NA,5.6,2.8,NA,5.6,2.8,NA,2.8,8.3,NA,2.8,2.8,NA,2.8,5.6,NA,16.7,5.6,5.6,5.6,NA,5.6,NA,2.8,NA,2.8,NA
554500,184500,"Barking Town U.D.","Barking Town U.D.",NA,NA,1.7,1.7,1.7,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,1.7,26.4,99,69.3,36.3,18.2,6.6,3.3,1.7,1.7,5,1.7,NA,1.7,1.7,1.7,6.6,13.2,6.6,3.3,3.3,1.7,5,NA,NA,1.7,5,NA,NA,1.7
522500,176500,"Barnes U.D.","Barnes U.D.",1.7,3.3,1.7,1.7,3.3,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3,1.7,5,33.1,28.1,14.9,16.6,18.2,6.6,1.7,NA,NA,1.7,NA,NA,NA,NA,NA,3.3,6.6,5,5,3.3,3.3,NA,1.7,NA,3.3,1.7,NA,NA
434500,406500,"Barnsley","Barnsley",1.1,8.8,8.8,6.6,4.4,4.4,1.1,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,5.5,14.3,22,24.2,33,30.8,25.3,31.9,23.1,8.8,8.8,1.1,4.4,4.4,2.2,8.8,11,17.6,17.6,23.1,12.1,2.2,1.1,6.6,3.3,1.1,NA,NA
319500,469500,"Barrow-in-Furness","Barrow-in-Furness",1.3,3.3,3.3,5.2,1.3,0.7,1.3,NA,1.3,NA,NA,NA,0.7,NA,NA,0.7,3.3,16.9,25.4,27.3,19.5,11.1,9.1,6.5,6.5,3.3,0.7,1.3,0.7,NA,NA,NA,NA,2.6,7.8,16.3,13.7,11.1,5.9,3.3,0.7,NA,NA,NA,0.7,NA
311500,168500,"Barry U.D.","Barry U.D.",NA,NA,NA,3.1,1.5,NA,1.5,NA,NA,NA,NA,1.5,1.5,NA,NA,6.2,12.3,16.9,21.6,6.2,1.5,3.1,4.6,7.7,NA,NA,NA,NA,NA,1.5,NA,NA,1.5,NA,3.1,4.6,3.1,10.8,NA,3.1,NA,1.5,NA,NA,1.5,NA
374500,164500,"Bath","Bath",NA,0.8,NA,0.8,0.8,NA,1.7,0.8,0.8,NA,NA,NA,NA,0.8,1.7,9.1,20.7,26.4,16.5,7.4,8.3,9.1,5,4.1,4.1,0.8,0.8,1.7,NA,0.8,2.5,0.8,1.7,NA,4.1,3.3,3.3,7.4,3.3,3.3,4.1,2.5,2.5,2.5,NA,NA
424500,424500,"Batley M.B.","Batley M.B.",NA,1.6,19.3,4.8,6.4,NA,NA,1.6,NA,NA,NA,NA,NA,NA,NA,1.6,NA,3.2,8,19.3,11.2,33.7,25.7,16.1,8,4.8,1.6,1.6,4.8,1.6,4.8,1.6,1.6,6.4,12.8,28.9,33.7,11.2,4.8,1.6,4.8,NA,3.2,3.2,3.2,NA
537500,169500,"Beckenham U.D.","Beckenham U.D.",NA,1.8,1.8,1.8,NA,NA,NA,NA,NA,1.8,NA,NA,NA,NA,NA,1.8,1.8,12.4,26.6,24.8,10.6,14.2,7.1,3.5,1.8,NA,1.8,NA,NA,NA,NA,NA,NA,7.1,17.7,10.6,12.4,12.4,3.5,1.8,3.5,NA,NA,NA,1.8,1.8
505500,249500,"Bedford M.B.","Bedford M.B.",1.3,NA,1.3,1.3,1.3,NA,NA,NA,NA,NA,NA,1.3,NA,NA,1.3,1.3,2.7,18.6,29.2,27.9,14.6,17.2,9.3,9.3,1.3,1.3,2.7,NA,NA,NA,NA,NA,1.3,4,5.3,4,4,1.3,1.3,NA,4,NA,1.3,NA,2.7,NA
426500,581500,"Bedlingtonshire U.D.","Bedlingtonshire U.D.",NA,18.1,4.5,4.5,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,NA,4.5,9,24.8,24.8,24.8,15.8,9,2.3,6.8,4.5,4.5,NA,NA,NA,4.5,13.5,24.8,15.8,13.5,4.5,2.3,2.3,NA,NA,2.3,NA,NA,NA
316500,200500,"Bedwellty U.D.","Bedwellty U.D.",NA,3.7,11.2,11.2,NA,1.9,NA,NA,1.9,NA,NA,1.9,3.7,NA,5.6,18.6,9.3,5.6,13,9.3,3.7,3.7,1.9,NA,3.7,NA,NA,NA,NA,3.7,3.7,NA,1.9,3.7,9.3,1.9,1.9,5.6,1.9,5.6,5.6,NA,3.7,1.9,3.7,NA
394500,297500,"Bilston U.D.","Bilston U.D.",NA,4.5,6.8,13.5,11.3,2.3,NA,NA,NA,NA,NA,NA,NA,2.3,2.3,NA,NA,NA,6.8,15.8,15.8,60.9,79,45.1,13.5,4.5,2.3,2.3,2.3,NA,2.3,NA,NA,NA,13.5,13.5,15.8,9,6.8,NA,NA,2.3,NA,NA,NA,2.3
330500,388500,"Birkenhead","Birkenhead",NA,3.1,2.7,3.1,3.5,1.9,0.4,0.8,0.4,NA,NA,NA,NA,0.8,2.3,13.1,23.6,36.7,34.4,25.9,10.4,2.7,3.9,5,1.5,1.9,1.2,1.5,2.3,3.1,0.8,2.3,6.6,4.6,10,12.7,9.7,5,3.1,1.2,1.9,0.8,0.8,NA,NA,NA
409500,287500,"Birmingham","Birmingham",1.1,6.9,6.9,3.1,0.8,0.2,0.2,0.2,0.2,0.1,0.1,NA,0.1,0.1,0.1,0.2,0.9,3.6,6.4,12.3,15.7,19.4,22.3,16,8.2,3.7,1.4,1.2,0.8,0.4,0.3,0.5,0.7,2.4,5.8,9.8,9.1,8.4,6.6,5,2.8,2.3,1.6,1.3,0.5,0.3
368500,427500,"Blackburn","Blackburn",0.9,2.8,9.8,7,6.1,0.9,1.4,NA,1.4,0.5,NA,NA,NA,NA,NA,NA,0.5,1.4,4.7,14,15,19.7,22.9,21.5,15,7.5,3.7,1.4,0.9,1.4,0.5,0.5,0.5,6.1,16.8,24.3,18.7,6.6,5.1,0.5,2.3,NA,0.5,0.9,NA,NA
331500,436500,"Blackpool","Blackpool",NA,4,2.4,4,NA,0.8,NA,0.8,0.8,0.8,NA,0.8,NA,NA,NA,NA,3.2,6.4,12.8,16,9.6,8,12.8,6.4,1.6,8.8,1.6,0.8,NA,NA,0.8,NA,0.8,5.6,16.8,20.8,9.6,4.8,3.2,NA,NA,1.6,NA,NA,NA,0.8
417500,562500,"Blaydon U.D.","Blaydon U.D.",NA,5.2,10.3,6.9,5.2,NA,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,5.2,10.3,6.9,20.6,34.4,25.8,13.7,3.4,3.4,3.4,1.7,NA,NA,1.7,NA,NA,10.3,8.6,6.9,3.4,1.7,NA,NA,NA,NA,NA,1.7,NA
430500,581500,"Blyth U.D.","Blyth U.D.",NA,16.8,14.9,NA,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,NA,3.7,1.9,16.8,46.6,37.3,18.7,9.3,NA,NA,NA,1.9,1.9,1.9,NA,NA,26.1,28,20.5,5.6,1.9,5.6,NA,1.9,1.9,NA,NA,NA,NA
371500,408500,"Bolton","Bolton",0.6,3.2,9.4,6.8,4.9,2.9,2.6,1.3,1,NA,0.3,0.3,NA,NA,NA,0.6,1.6,13,21.4,14.6,5.8,7.8,8.4,4.9,6.8,2.6,1.6,0.6,1.9,0.3,1.6,1,0.6,5.2,18.8,25.3,18.8,8.4,5.2,2.3,2.6,1.3,1.6,0.6,0.3,1
333500,394500,"Bootle","Bootle",NA,NA,6.7,1.5,3.7,1.5,NA,1.5,0.7,0.7,0.7,NA,0.7,NA,1.5,8.9,14,38.4,40.7,26.6,8.1,3,0.7,2.2,6.7,3.7,5.2,4.4,0.7,3,0.7,NA,3.7,7.4,20.7,20,11.8,10.3,1.5,1.5,0.7,0.7,NA,NA,NA,NA
408500,91500,"Bournemouth","Bournemouth",0.7,NA,NA,0.7,0.7,0.7,NA,NA,NA,0.7,NA,1.4,2.1,0.7,1.4,2.1,4.2,16.1,17.5,2.1,6.3,3.5,7,2.1,1.4,2.8,NA,1.4,1.4,NA,0.7,1.4,1.4,2.1,7.7,9.8,13.3,4.9,2.8,3.5,3.5,0.7,1.4,0.7,0.7,0.7
416500,432500,"Bradford","Bradford",0.6,2.8,6.4,4.6,2.4,2,1.4,0.4,NA,NA,0.2,NA,0.2,NA,0.6,0.2,0.4,2.2,7.2,17.3,26.5,24.3,23.5,12.2,4.8,2.6,1.8,1.2,0.4,0.6,1,1.4,8.4,11.2,30.5,25.9,19.1,7.4,2.2,3.8,2.2,0.8,0.2,0.6,1.4,1
