"V1","V2","V3"
"L",443.8226,95.91213
"L",441.7165,94.68925
"L",440.5015,97.70568
"L",440.1775,95.58603
"L",439.2865,93.71095
"L",436.8564,93.14027
"L",434.7503,92.81417
"L",432.3203,92.2435
"L",431.3482,90.36842
"L",430.4572,88.57486
"L",429.2422,87.35198
"L",426.8121,88.81944
"L",423.815,89.47164
"L",421.628,90.36842
"L",418.9549,90.04232
"L",416.5248,88.81944
"L",414.9858,87.92266
"L",413.1227,88.81944
"L",409.2346,88.81944
"L",405.8326,87.35198
"L",404.0505,85.803
"L",402.5115,84.25403
"L",401.2964,81.2376
"L",401.9444,78.13964
"L",401.9444,76.01998
"L",401.2964,74.1449
"L",400.5674,74.1449
"L",397.8133,73.90033
"L",396.0313,73.24813
"L",395.0593,72.02525
"L",393.6012,74.7971
"L",390.5231,76.01998
"L",387.5261,77.24286
"L",384.124,77.81354
"L",381.6939,77.56896
"L",379.0208,78.13964
"L",377.4818,78.46574
"L",375.6187,79.03641
"L",373.5127,79.36251
"L",369.8676,79.36251
"L",367.7615,77.24286
"L",366.8705,75.36778
"L",365.8985,73.24813
"L",367.4375,71.69915
"L",369.3006,70.80237
"L",368.6525,69.00882
"L",366.8705,66.56306
"L",366.2225,69.25339
"L",365.8985,71.12847
"L",364.4404,73.90033
"L",361.6864,76.01998
"L",360.4713,77.24286
"L",358.3653,79.68862
"L",356.5022,80.9115
"L",353.7481,82.70505
"L",351.0751,84.25403
"L",347.997,85.4769
"L",346.5389,87.02588
"L",344.1089,88.24876
"L",342.0028,88.57486
"L",338.9247,89.79774
"L",336.8187,90.36842
"L",335.2796,90.36842
"L",333.8216,88.57486
"L",331.0675,87.35198
"L",328.3135,86.69978
"L",326.2074,86.69978
"L",324.3443,87.02588
"L",322.8863,86.1291
"L",321.3473,84.90623
"L",317.0542,85.4769
"L",314.9481,85.1508
"L",313.166,84.58013
"L",310.979,83.35725
"L",309.764,82.13437
"L",308.5489,80.5854
"L",306.4429,79.36251
"L",304.6608,78.79184
"L",304.3368,77.56896
"L",301.2587,77.56896
"L",297.9376,80.9115
"L",297.0466,83.92793
"L",295.8316,83.92793
"L",297.3706,81.2376
"L",298.2616,79.36251
"L",298.2616,77.81354
"L",298.2616,76.01998
"L",297.0466,74.1449
"L",295.8316,72.67745
"L",295.5076,71.45457
"L",294.2925,70.47627
"L",290.9714,70.47627
"L",288.5414,70.47627
"L",287.8934,70.47627
"L",294.2925,70.47627
"L",294.4545,69.66102
"L",293.5635,66.97069
"L",293.2395,65.0956
"L",292.9965,62.97595
"L",294.2115,60.8563
"L",292.3485,60.2041
"L",290.5664,59.87799
"L",289.5944,58.41054
"L",289.3514,55.96478
"L",290.2424,54.0897
"L",292.6725,53.19293
"L",294.2115,53.19293
"L",293.2395,51.64395
"L",292.6725,49.52429
"L",292.0245,47.97532
"L",289.5944,47.40464
"L",287.4884,49.52429
"L",287.1643,52.29615
"L",284.4913,53.51903
"L",285.0583,52.54073
"L",286.2733,51.31785
"L",286.5973,49.85039
"L",287.4884,48.30142
"L",287.4884,46.42634
"L",285.9493,44.95888
"L",283.5192,43.0838
"L",282.9522,41.53483
"L",282.0612,39.74127
"L",281.7372,37.62162
"L",281.7372,35.74654
"L",281.7372,34.52366
"L",279.3071,34.19756
"L",278.9831,33.30078
"L",277.4441,32.404
"L",275.338,33.95298
"L",273.799,34.84976
"L",275.338,36.96941
"L",274.771,39.41517
"L",273.556,39.41517
"L",274.123,38.19229
"L",274.123,36.64331
"L",272.908,34.84976
"L",272.0169,33.95298
"L",269.2629,34.19756
"L",267.7238,36.07264
"L",266.2658,37.62162
"L",267.4808,40.06737
"L",265.9418,41.29025
"L",268.0478,43.0838
"L",266.5088,42.18703
"L",264.7267,43.0838
"L",262.6207,43.4099
"L",261.0816,44.30668
"L",262.2967,46.75244
"L",261.0816,44.63278
"L",258.9756,44.63278
"L",257.7605,43.98058
"L",255.8975,43.4099
"L",254.1155,43.73601
"L",252.2524,44.30668
"L",254.6825,45.20346
"L",252.9004,45.85566
"L",251.6854,46.18176
"L",250.4704,46.42634
"L",249.8223,48.30142
"L",249.8223,50.42107
"L",247.7163,51.07327
"L",245.2862,51.07327
"L",244.3952,54.0897
"L",244.0712,56.20936
"L",244.3952,57.75834
"L",248.0403,61.10087
"L",245.2862,59.87799
"L",244.0712,62.32375
"L",243.7472,59.30732
"L",243.1802,58.08444
"L",241.3171,58.08444
"L",242.8561,58.08444
"L",242.8561,56.20936
"L",243.7472,54.41581
"L",244.0712,52.54073
"L",241.3171,50.42107
"L",242.5321,48.87209
"L",240.4261,48.62752
"L",237.672,50.09497
"L",235.5659,50.09497
"L",233.4599,50.09497
"L",231.2728,50.09497
"L",229.4908,50.74717
"L",228.2758,50.42107
"L",227.0607,49.52429
"L",226.6557,49.85039
"L",225.4407,49.19819
"L",223.9826,48.87209
"L",222.7676,47.97532
"L",220.9046,48.30142
"L",218.4745,48.30142
"L",216.3684,47.97532
"L",214.5054,48.30142
"L",213.6144,50.74717
"L",213.6144,53.51903
"L",211.8323,55.31258
"L",210.8603,54.98648
"L",210.8603,53.51903
"L",212.0753,52.29615
"L",212.3993,51.07327
"L",212.3993,49.52429
"L",211.5083,48.30142
"L",209.9693,47.97532
"L",209.4022,50.09497
"L",207.5392,50.09497
"L",206.3242,49.52429
"L",204.7851,48.62752
"L",204.2181,47.07854
"L",203.0031,45.85566
"L",201.788,43.73601
"L",202.112,41.86093
"L",202.112,40.06737
"L",201.464,38.19229
"L",199.925,37.62162
"L",196.9279,38.19229
"L",194.4978,36.96941
"L",193.6068,36.07264
"L",192.6348,35.42044
"L",191.4198,35.17586
"L",189.9617,35.17586
"L",188.4227,32.97468
"L",186.8836,31.18113
"L",185.9926,29.06147
"L",184.7776,29.06147
"L",184.7776,32.97468
"L",183.8866,36.07264
"L",184.4536,37.86619
"L",188.0987,38.51839
"L",186.8836,39.41517
"L",185.9926,39.08907
"L",185.9926,40.96415
"L",185.1016,40.96415
"L",185.1016,40.06737
"L",184.4536,39.74127
"L",183.8866,39.74127
"L",183.8866,38.51839
"L",183.8866,36.64331
"L",183.2385,34.52366
"L",181.6995,34.84976
"L",180.8085,36.07264
"L",180.4845,35.42044
"L",181.4565,34.52366
"L",182.3475,33.62688
"L",182.0235,31.50723
"L",181.6995,29.63215
"L",181.1325,28.40927
"L",179.5934,27.83859
"L",179.5934,26.28961
"L",178.7024,25.39284
"L",176.8394,24.41453
"L",179.0264,22.94708
"L",179.5934,21.072
"L",181.1325,20.17522
"L",180.8085,18.95235
"L",180.4845,16.83269
"L",179.2694,16.18049
"L",179.0264,14.38694
"L",177.1634,14.38694
"L",174.7333,14.63151
"L",173.5183,13.73473
"L",172.6272,11.94118
"L",172.3032,10.3922
"L",170.7642,9.74
"L",168.0911,11.28898
"L",165.9041,13.73473
"L",166.5521,17.07727
"L",165.9041,19.27845
"L",165.013,21.96878
"L",163.474,22.94708
"L",162.016,23.84386
"L",160.4769,24.41453
"L",158.6139,25.63741
"L",156.1838,25.96351
"L",154.9688,27.18639
"L",152.5387,27.83859
"L",151.3237,27.83859
"L",148.8936,27.51249
"L",148.6506,26.86029
"L",148.3266,25.06674
"L",148.0026,22.94708
"L",146.7876,21.7242
"L",145.2485,21.072
"L",143.7905,20.50133
"L",141.3604,20.17522
"L",138.2823,18.95235
"L",135.8523,20.50133
"L",134.9612,21.96878
"L",135.5282,23.51776
"L",137.0673,24.41453
"L",136.5003,27.83859
"L",136.5003,29.95825
"L",137.9583,31.7518
"L",139.8214,32.97468
"L",142.2514,33.30078
"L",144.0335,35.74654
"L",146.2205,36.96941
"L",147.4356,37.29552
"L",149.8656,38.19229
"L",151.3237,39.08907
"L",152.5387,39.08907
"L",152.8627,38.19229
"L",153.1867,36.64331
"L",155.9408,35.42044
"L",157.3988,35.42044
"L",158.0469,38.19229
"L",158.9379,39.74127
"L",158.6139,40.31195
"L",160.8009,40.96415
"L",162.583,40.96415
"L",164.122,41.53483
"L",166.5521,43.73601
"L",168.3341,43.98058
"L",168.9822,44.95888
"L",169.5492,47.07854
"L",170.5212,49.52429
"L",171.9792,49.85039
"L",173.8423,49.52429
"L",174.7333,50.74717
"L",175.6243,51.97005
"L",176.5964,52.54073
"L",176.8394,55.31258
"L",177.4874,57.18766
"L",178.7024,58.41054
"L",180.4845,58.98122
"L",182.0235,59.63342
"L",184.1296,61.75307
"L",185.1016,63.87273
"L",185.1016,65.74781
"L",185.6686,67.86746
"L",186.5596,70.31322
"L",186.5596,72.75897
"L",188.7467,73.08507
"L",190.5287,73.98185
"L",192.0678,75.20473
"L",192.6348,73.32965
"L",193.8498,71.8622
