"V1","V2","V3","V4"
171898.2,220482.6,174085.3,220482.6
174085.3,220482.6,175543.3,220727.2
175543.3,220727.2,177730.4,221053.3
177730.4,221053.3,179188.4,221053.3
179188.4,221053.3,181051.5,220727.2
181051.5,220727.2,182590.5,219830.4
182590.5,219830.4,184372.6,219504.3
184372.6,219504.3,185587.6,219259.7
185587.6,219259.7,185911.6,217058.6
185911.6,217058.6,187126.6,215835.7
187126.6,215835.7,187126.6,214042.1
187126.6,214042.1,187126.6,212493.2
187126.6,212493.2,186478.6,210944.2
186478.6,210944.2,185263.6,210373.5
185263.6,210373.5,184372.6,210373.5
184372.6,210373.5,183157.5,210047.4
183157.5,210047.4,181618.5,209150.6
181618.5,209150.6,180160.5,207927.7
180160.5,207927.7,178297.4,206704.9
178297.4,206704.9,176515.4,206378.8
176515.4,206378.8,174976.3,206704.9
174976.3,206704.9,175867.3,205155.9
175867.3,205155.9,177973.4,204829.8
177973.4,204829.8,179188.4,203606.9
179188.4,203606.9,180727.5,203036.2
180727.5,203036.2,181051.5,200916.6
181051.5,200916.6,181618.5,200916.6
181618.5,200916.6,183157.5,203036.2
183157.5,203036.2,184696.6,203362.3
184696.6,203362.3,185263.6,203933
185263.6,203933,187693.7,203606.9
187693.7,203606.9,189556.7,203036.2
189556.7,203036.2,191338.8,202710.1
191338.8,202710.1,192877.8,202139.5
192877.8,202139.5,193768.8,201487.3
193768.8,201487.3,194983.9,201161.2
194983.9,201161.2,197170.9,201813.4
197170.9,201813.4,198953,202384
198953,202384,200492,203036.2
200492,203036.2,200492,206704.9
200492,206704.9,200168,208253.8
200168,208253.8,199844,210047.4
199844,210047.4,201383,210047.4
201383,210047.4,201059,207601.6
201059,207601.6,201059,205482
201059,205482,202031,204259.1
202031,204259.1,203489.1,203036.2
203489.1,203036.2,201059,202384
201059,202384,199601,201813.4
199601,201813.4,197170.9,201161.2
197170.9,201161.2,194740.8,199693.7
194740.8,199693.7,192553.8,199693.7
192553.8,199693.7,191986.8,200916.6
191986.8,200916.6,190123.7,200590.5
190123.7,200590.5,189556.7,199367.6
189556.7,199367.6,188017.7,199693.7
188017.7,199693.7,187126.6,201487.3
187126.6,201487.3,185587.6,200590.5
185587.6,200590.5,186235.6,198715.4
186235.6,198715.4,186802.6,198715.4
186802.6,198715.4,188341.7,198144.7
188341.7,198144.7,188341.7,196595.7
188341.7,196595.7,188341.7,194802.2
188341.7,194802.2,189232.7,193253.2
189232.7,193253.2,191986.8,192601
191986.8,192601,193525.8,191378.1
193525.8,191378.1,195307.9,190481.4
195307.9,190481.4,196522.9,190481.4
196522.9,190481.4,197737.9,190155.3
197737.9,190155.3,199844,192601
199844,192601,200816,193579.3
200816,193579.3,202274.1,194150
202274.1,194150,202922.1,194802.2
202922.1,194802.2,205676.1,194802.2
205676.1,194802.2,208106.2,194802.2
208106.2,194802.2,209888.3,195699
209888.3,195699,211103.3,195699
211103.3,195699,211994.3,196025.1
211994.3,196025.1,213209.3,196269.6
213209.3,196269.6,213857.4,198144.7
213857.4,198144.7,214181.4,200264.4
214181.4,200264.4,214181.4,201813.4
214181.4,201813.4,215639.4,203036.2
215639.4,203036.2,217178.5,203933
217178.5,203933,218717.5,203933
218717.5,203933,220823.6,203933
220823.6,203933,222362.6,204259.1
222362.6,204259.1,223901.6,204259.1
223901.6,204259.1,226007.7,204259.1
226007.7,204259.1,227546.7,204259.1
227546.7,204259.1,228437.8,204259.1
228437.8,204259.1,229328.8,203933
229328.8,203933,230867.8,204259.1
230867.8,204259.1,232082.9,205155.9
232082.9,205155.9,232082.9,207927.7
232082.9,207927.7,231758.8,210373.5
231758.8,210373.5,232973.9,210047.4
232973.9,210047.4,233297.9,208253.8
233297.9,208253.8,234188.9,207031
234188.9,207031,235728,208253.8
